name,party,status,votes
BACKIYARAJ VELLAISAMY,Naadaalum Makkal Katchi,lost,2283
KARUPPIAH. S,Independent,lost,2171
SATHIS KUMAR. S,Independent,lost,2052
KAVITHA. S,Independent,lost,1736
NAGARAJAN. M,Independent,lost,1664
GOVINDARASU. P,Independent,lost,1566
ANBIN AMUDHAN. R,Independent,lost,1498
DURAIRAJ. A,Independent,lost,1463
SASIKUMAR. P,Independent,lost,1352
PANNEERSELVAM. P,Independent,lost,1263
DURAI. S,Independent,lost,1202
ANAND SELVARAJ,Independent,lost,1178
SANKAR. R,Independent,lost,1166
AMBIVENKATESAN,Independent,lost,978
DURAI. T,Independent,lost,880
SATHYAMURTHY. T,Independent,lost,834
VIJAYAKUMAR. P,Independent,lost,802
ROJA RAMANI. S,Anna MGR Dravida Makkal Kalgam,lost,777
PERIYASAMY. V,Independent,lost,774
AKILA. M,Independent,lost,747
RAJENDRAN. P,Independent,lost,675
MANIKANDARAJ. S,Independent,lost,608
MURUGESAN. P,Independent,lost,497
JOSEPH. L,Samaniya Makkal Nala Katchi,lost,491
MUTHURAJA. T,Independent,lost,431
ROBERT BRUCE C,Indian National Congress,won,502296
NAINAR NAGENTHRAN,Bharatiya Janata Party,lost,336676
JANSI RANI M,All India Anna Dravida Munnetra Kazhagam,lost,89601
SATHYA,Naam Tamilar Katchi,lost,87686
POTTAL SUNDARA MUNISWARAN,Independent,lost,19852
NOTA,None of the Above,,7396
ATHISAYAM V,Independent,lost,3781
BALASUBRAMANIAN,Bahujan Samaj Party,lost,2067
CHINNA MAHARAJA K,Independent,lost,1895
DAVID M,Independent,lost,1836
SAMUEL LAWRENCE PONNIAH,Independent,lost,1497
BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,lost,1475
LENIN K,Independent,lost,1450
CHANDRAN M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,lost,1413
SELVA KUMAR S,Bahujan Dravida Party,lost,1346
KUMAR V,Puthiya Makkal Tamil Desam Katchi,lost,1072
MUTHURAMAN A,Aravor Munnetra Kazhagam,lost,1048
THALAPATHY MURUGAN M,Independent,lost,917
SIVARAM K,Independent,lost,875
RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,lost,790
SURESH,Independent,lost,788
DR RAJENDRA RETNAM K,Independent,lost,689
SEVAL KANNAN B ADVOCATE,Independent,lost,636
RAGHAVAN C M,Independent,lost,366
"SUBBARAYAN, K.",Communist Party of India,won,472739
"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,lost,346811
"MURUGANANDAM, A.P.",Bharatiya Janata Party,lost,185322
"SEETHALAKSHMI, M.K.",Naam Tamilar Katchi,lost,95726
NOTA,None of the Above,,17737
"VELUSAMY, A.",Independent,lost,7125
"PALANI, V.",Bahujan Samaj Party,lost,6054
"SATHISHKUMAR, N.",Independent,lost,2336
"JANARTHANAM, P.",Tamilaga Makkal Thannurimai Katchi,lost,1868
"KANNAN, M.",Independent,lost,1765
"SENGUTTUVAN, M.R.",Independent,lost,1567
"SUBRAMANI, N.",Independent,lost,1350
"MALARVIZHI, G.",Rashtriya Samaj Paksha,lost,1325
"KARTHIKEYAN, P.",Independent,lost,824
Sasikanth Senthil,Indian National Congress,won,796956
"Balaganapathy, V. Pon",Bharatiya Janata Party,lost,224801
"Nallathambi, K.",Desiya Murpokku Dravida Kazhagam,lost,223904
"Jagadesh Chander, M.",Naam Tamilar Katchi,lost,120838
NOTA,None of the Above,,18978
"Tamizhmadhi, D.",Bahujan Samaj Party,lost,13810
"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,lost,2946
Malathi,Naadaalum Makkal Katchi,lost,2853
"Mani, E.",Independent,lost,2752
"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,lost,2008
"Manimaran, V.",Independent,lost,1922
"Balakrishnan, K.",Independent,lost,1690
"Bharathidasan, S.S.",Independent,lost,1631
"Shakthivel, A.J.",Independent,lost,1613
"Sivasankaran, V.",Independent,lost,1110
"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,won,547379
KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,lost,313448
"ASUVATHAMAN, A.",Bharatiya Janata Party,lost,156650
"RAMESHBABU,  R.",Naam Tamilar Katchi,lost,83869
NOTA,None of the Above,,11957
"KALIAPERUMAL, M.",Independent,lost,5713
"BENNYRAJAN, C.J.",Bharatiya Praja Aikyata Party,lost,4810
"KALIYAPERUMAL, A.",Independent,lost,3407
"MOHANRAJA,  V.M.",Bahujan Samaj Party,lost,2637
CAPTAIN GOWTHAM,Independent,lost,1842
"UDHAYAKUMAR, P.S.",Independent,lost,1251
"ANNADURAI, S.",Independent,lost,1172
"KOTHANDABANI, B.",Independent,lost,965
"SELVAM , K.",Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,lost,954
"KALASTHIRI,  S.",All India Uzhavargal Uzhaippalargal Katchi,lost,950
"VIJAYAKUMAR,  S.",Independent,lost,934
"JAGANNATHAN,  R.",Independent,lost,864
"SENTHAMIL SELVAN,  M.",Independent,lost,856
"AGNI SELVARASU, J.",Naadaalum Makkal Katchi,lost,777
"SATHIYAMOORTHY,  S.",Makkal Nala Kazhagam,lost,736
"SUB MAJOR SETTU, M.",Viro Ke Vir Indian Party,lost,658
"ANNADURAI, S.",Independent,lost,648
"SANKAR,  S.",Independent,lost,578
"ANNADURAI, A.",Independent,lost,516
"NALLASIVAM, M.",Independent,lost,429
"POONGODY,  A.",Independent,lost,417
"PALANI , T.N.",Independent,lost,414
"VIMAL, V.",Independent,lost,342
"THANGARAJ,  P.",Independent,lost,295
"RAMESH , T.P.",Independent,lost,281
"NAKKEERAN ,  A.",Independent,lost,265
DEEPAMMAL SUNDARI,Independent,lost,259
HARISH CHANDRA MEENA,Indian National Congress,won,623763
SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,lost,558814
PRAHALAD MALI,Bahujan Samaj Party,lost,13144
NOTA,None of the Above,,8177
GANESH MEENA,Indian Peoples Green Party,lost,7433
MAKHAN LAL MEENA,Independent,lost,3324
JASRAM MEENA,Independent,lost,3045
VIJENDRA,Aazad Samaj Party (Kanshi Ram),lost,2697
GIRRAJ PRASAD MEENA,Independent,lost,2521
JAGDISH PRASAD MEENA,Bharat Adivasi Party,lost,1373
DULI CHAND SAINI,Rajasthan Raj Party,lost,1264
JAGDISH PRASAD SHARMA,Bheem Tribal Congress,lost,1029
SHRIRANG APPA CHANDU BARNE,Shiv Sena,won,692832
SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),lost,596217
MADHAVITAI  NARESH JOSHI,Vanchit Bahujan  Aaghadi,lost,27768
NOTA,None of the Above,,16760
RAJARAM NARAYAN PATIL,Bahujan Samaj Party,lost,14003
ADV JYOTISHWAR VISHNU BHOSALE,Baliraja Party,lost,10879
UMAKANT RAMESHWAR MISHRA,Independent,lost,5030
SANJOG  PATIL,Independent,lost,4830
KAMBLE MARUTI APARAI,Independent,lost,4829
AJAY HANUMANT LONDHE,Independent,lost,4767
SANTOSH UBALE,Bhim Sena,lost,3825
ADHALGE LAXMAN SADASHIV,Independent,lost,3167
SUHAS MANOHAR RANE,Independent,lost,2923
IQBAL IBRAHIM NAWDEKAR,Independent,lost,2900
DADARAO KISAN KAMBLE,Independent,lost,2642
RAHUL NIVRUTTI MADANE,Independent,lost,2282
TUSHAR DIGAMBAR LONDHE,Bahujan Bharat Party,lost,2203
RAHIM MAINUDDIN SAYYAD,Aazad Samaj Party (Kanshi Ram),lost,2149
INDRAJEET D GOND,Independent,lost,2135
SHIVAJI KISAN JADHAV,All India Forward Bloc,lost,1676
YASHWANT VITTHAL PAWAR,Kranti Kari Jai Hind Sena,lost,1638
PRAFUL PANDIT BHOSALE,Independent,lost,1603
RAJENDRA MARUTI KATE,Independent,lost,1419
MAHESH THAKUR,Dharmarajya Paksha,lost,1372
PRASHANT RAMKRISHNA BHAGAT,Bharatheeya Jawan Kisan Party,lost,1291
PANKAJ PRABHAKAR OZARKAR,Akhil Bhartiya Parivar Party,lost,1261
MANOJ BHASKAR GARBADE,Independent,lost,1233
HAJRAT IMAMSAB PATEL,Independent,lost,1093
GOVIND GANGARAM HERODE,Independent,lost,966
MADHUKAR DAMODAR THORAT,Independent,lost,905
RAFIQUE RASHID QURESHI,Desh Janhit Party,lost,829
CHIMAJI DHONDIBA SHINDE,Independent,lost,757
ADV RAJU PATIL,Independent,lost,670
MUKESH MANOHAR AGARWAL,Independent,lost,547
KODIKUNNIL SURESH,Indian National Congress,won,369516
ADV ARUN KUMAR C A,Communist Party of India,lost,358648
BAIJU KALASALA,Bharath Dharma Jana Sena,lost,142984
NOTA,None of the Above,,9883
C MONICHEN,Independent,lost,4974
SANTHOSH PALATHUMPADAN,Bahujan Samaj Party,lost,4306
SURESH NOORANAD,Ambedkarite Party of India,lost,1505
K BIMALJI,Socialist Unity Centre Of India (COMMUNIST),lost,1370
MANTHARA VELAYUDHAN,Independent,lost,929
KOZHUVASSERIL SURESH,Independent,lost,856
NABA CHARAN MAJHI,Bharatiya Janata Party,won,585971
SUDAM MARNDI,Biju Janata Dal,lost,366637
ANJANI SOREN,Jharkhand Mukti Morcha,lost,135399
NOTA,None of the Above,,19953
RABINDRA NATH SINGH,Independent,lost,9324
ASHOK KUMAR SING,Independent,lost,8953
JATIA SAWAYAN,Bahujan Samaj Party,lost,8502
SANTILATA CHATTAR,Independent,lost,8477
PITAMBAR NAIK,Socialist Unity Centre Of India (COMMUNIST),lost,8114
ANTA ALOK BASKEY,AJSU Party,lost,5394
BAJUN HANSDA,Independent,lost,5322
KANHU CHARAN TUDU,Independent,lost,5138
SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,lost,3656
GURU  CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,lost,3210
MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,won,471217
NEELAM MADHU,Indian National Congress,lost,432078
P. VENKATRAMA REDDY,Bharat Rashtra Samithi,lost,396790
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,lost,17216
SARA YADAGIRI GOUD,Praja Velugu Party,lost,11060
BODAPATLA ESHWAR,Bahujan Samaj Party,lost,7463
DUBALA SRI SAILAM,Independent,lost,5166
ADLA KUMAR,Independent,lost,5116
NOTA,None of the Above,,4617
BANDAPALLY SRINIVAS,Socialist Unity Centre Of India (COMMUNIST),lost,2366
ANIL GOUD,Bharat Jodo Party,lost,2132
ATI ANJANEYULU,Independent,lost,2038
ABHILASH CHELIMELA,Independent,lost,2031
MAISANGARI SUNIL,India Praja Bandhu Party,lost,2011
PRADEEP,Independent,lost,2010
INDRAGOUD SILIVERI,National Nava Kranthi Party,lost,1774
NAGAMANI ACHA,Independent,lost,1540
A. KRANTHI KUMAR,Independent,lost,1467
MAREPALLY LAXMINARAYANA,Independent,lost,1414
BALESH UPPARI,Independent,lost,1393
VENKATESH BEJUGAM,Independent,lost,1264
BOMMALA VIJAY KUMAR,Independent,lost,1196
ANNELA LAXMAN,Dharma Samaj Party,lost,1152
ABHILASH SHIRNA,Independent,lost,924
DODLA VENKAT,Telangana Praja Shakthi Party,lost,917
ABISHEK GOUD THABETI,Jana Shankhaaraavam Party,lost,797
MEDI SRINIVAS REDDI,Independent,lost,793
VUTLA RAMESH,Independent,lost,778
D. NARAHARI,Independent,lost,675
GOLLAPALLY SAYA GOUD,Pyramid Party of India,lost,658
SATYANARAYANA GOUD KOVURI,Independent,lost,607
DASARI BHANUCHANDER,Independent,lost,575
DADIGE RAJENDAR,Independent,lost,559
C.H. NAVEEN KUMAR,Independent,lost,531
KONDI ASHOK,Independent,lost,509
URELLI YELLAIAH,Viduthalai Chiruthaigal Katchi,lost,494
GONDHI BHUJANGAMU,Independent,lost,431
MOHD AZHER,Independent,lost,416
S RAJESH SAGAR,Independent,lost,348
KASOJU SRIKANTH,Independent,lost,344
K. LAXMINARAYANA,Independent,lost,317
KOLKUR PRATAP,Independent,lost,293
GADILA ANJANEYULU,Independent,lost,290
GOUTI MALLESH,Independent,lost,248
K.RAGHU,Independent,lost,224
JUNE MALIAH,All India Trinamool Congress,won,702192
AGNIMITRA PAUL,Bharatiya Janata Party,lost,675001
BIPLAB BHATTA,Communist Party of India,lost,57785
NOTA,None of the Above,,12424
ANINDITA JANA,Socialist Unity Centre Of India (COMMUNIST),lost,9791
SANJIB DEY,Independent,lost,8711
ANJAN (BABALU) MANDAL,Bahujan Samaj Party,lost,6503
KAMALESH MAHATA,Independent,lost,4250
SUKESH CHANDRA PALMAL,Independent,lost,2762
BISWAJIT DAS,Independent,lost,2144
ARUN GOVIL,Bharatiya Janata Party,won,546469
SUNITA VERMA,Samajwadi Party,lost,535884
DEVVRAT KUMAR TYAGI,Bahujan Samaj Party,lost,87025
NOTA,None of the Above,,4776
BHUPENDRA PAL URF BHUPPI BHAI,Rashtriya Shoshit Samaj Party,lost,2626
HAJI  AFZAL,Sabse Achchhi Party,lost,2029
ABID HUSAIN,Social Democratic Party Of India,lost,1922
LIYAKAT,Majloom Samaj Party,lost,894
DR HIMANSHU BHATNAGAR,Jai Hind National Party,lost,854
ANUPRIYA PATEL,Apna Dal (Soneylal),won,471631
RAMESH CHAND BIND,Samajwadi Party,lost,433821
MANISH KUMAR,Bahujan Samaj Party,lost,144446
NOTA,None of the Above,,15049
RAJESH,Independent,lost,10936
LAL JI VERMA,Independent,lost,6359
ANIL KUMAR,Eklavya Samaj Party,lost,6171
DAULAT SINGH,Apna Dal (Kamerawadi),lost,5235
RAMDHANI,Rashtriya Samaj Paksha,lost,4915
SAMEER SINGH,All India Forward Bloc,lost,3487
SATYADEV,Purvanchal Mahapanchayat,lost,3355
ASHOK KUMAR RAWAT,Bharatiya Janata Party,won,475016
SANGITA RAJVANSHI,Samajwadi Party,lost,441610
B R AHIRWAR,Bahujan Samaj Party,lost,111945
NOTA,None of the Above,,8029
RAMPAL,Independent,lost,3978
LALIT KUMAR,Bhartiya Shakti Chetna Party,lost,3815
Neelam Singh,Independent,lost,2905
VANDNA  VERMA,Naari Nar Rakshak Party,lost,1912
AVDHESH,Independent,lost,1423
SAVITRI DEVI,Rashtriya Janshakti Samaj Party,lost,1350
R.K. CHAUDHARY,Samajwadi Party,won,667869
KAUSHAL KISHORE,Bharatiya Janata Party,lost,597577
RAJESH KUMAR,Bahujan Samaj Party,lost,88461
NOTA,None of the Above,,8866
MAHENDRA,Independent,lost,2661
SUSHIL KUMAR,Independent,lost,2627
RAMESH KUMAR,Independent,lost,1841
SUNITA CHHEDA PASI,Aam Janta Party (India),lost,1749
S. L.SINGH,Peoples Party of India (Democratic),lost,1717
BRIJESH KUMAR VIKRAM,Rashtriya Samaj Paksha,lost,1655
JITENDRA KUMAR,Independent,lost,1414
SURAJ KUMAR,Sardar Patel Siddhant Party,lost,1015
RUCHI VIRA,Samajwadi Party,won,637363
KUNWAR SARVESH KUMAR,Bharatiya Janata Party,lost,531601
MO IRFAN,Bahujan Samaj Party,lost,92313
NOTA,None of the Above,,5824
AJAY YADAV,Apna Haq Party,lost,4094
MUSHARRAT HUSAIN,Independent,lost,2583
SADHNA SINGH,Independent,lost,2296
MOHD JAMSHED,Independent,lost,1719
ONKAR SINGH,Bharatiya Bahujan Samta Party,lost,1459
SHAKIL AHMED,Samata Party,lost,1356
AMARJEET SINGH JATAV,Independent,lost,952
HAR KISHORE SINGH,Socialist Unity Centre Of India (COMMUNIST),lost,940
GANGARAM SHARMA,Rashtriya Congress(J) Party,lost,685
GAIKWAD VARSHA EKNATH,Indian National Congress,won,445545
ADV UJWAL NIKAM,Bharatiya Janata Party,lost,429031
NOTA,None of the Above,,9749
SANTOSH GANPAT AMBULGE,Vanchit Bahujan  Aaghadi,lost,8288
AYYUB AMIN HUNGUND,Bahujan Samaj Party,lost,3243
ANSON THOMAS,People's Party of India(secular),lost,2211
RAMZAN ALI CHAUDHARY,All India Majlis-E-Ittehadul Muslimeen,lost,1531
AJAZ MOHAMMAD SAFI KHAN,Independent,lost,1041
HAYATULAH ABDULAH SHAIKH,Akhil Bharatiya Muslim League (Secular),lost,821
SHANTARAM S DIGHE,Independent,lost,733
NAZMAKHATHUN MOHAMMED ZAFAR KHAN,Independent,lost,732
NARENDRA MISHRA,Independent,lost,708
HARSHADA BABURAV JADHAV,Maharashtra Vikas Aghadi,lost,690
ADV ASIF ALI SIDDIQUIE,Independent,lost,683
RAMA ARUN SABLE,Independent,lost,636
SANDEEP BHAU RAMCHANDRA JADHAV,Independent,lost,623
DR GAFFAR IBRAHIM SAYED,Independent,lost,586
ADV UTTAMKUMAR NAKUL SAJANI SAHU,Independent,lost,558
KHAN ABBAS AHMED,Bahujan Maha Party,lost,428
MUSHTAQUE HAIDER SHAIKH,Independent,lost,405
DR ADV YASHWANT RAMBHAU KASBE,Bhartiya Jan Vikas Aaghadi,lost,391
KURBAN SHAHADAT HUSAIN,Rashtriya Ulama Council,lost,367
ABDUL TAHIR ADVOCATE BABLU RAJNIKANT,Independent,lost,355
SHAUKAT ABDUL RAFIQ KHAN,Insaniyat Party,lost,345
RAJESH MOHAN LOKHANDE,Independent,lost,289
YUNUSALI RASHID MULLA,Independent,lost,220
ADV FEROZ SHAIKH,Independent,lost,180
MUZAFAR ALI SHAIKH,Independent,lost,173
SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),won,450937
MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,lost,421076
DAULAT KADAR KHAN,Vanchit Bahujan  Aaghadi,lost,14657
NOTA,None of the Above,,10173
NANDESH VITHAL UMAP,Bahujan Samaj Party,lost,8318
DR. SUSHMA MAURYA,Independent,lost,2891
SANJAY B. PATIL,National People's Party,lost,2764
SANJU MARUTI PAWAR,Maharashtra Vikas Aghadi,lost,2582
PROF. DR. PRASHANT GANGAWANE,Desh Janhit Party,lost,2373
PREM RAMAPATI GUPTA,Independent,lost,1601
MOHAMMED AHMED SHAIKH,Independent,lost,1294
MOHAMMAD ARMAN MOHAMMAD WASI KHAN,Rashtriya Janhit Sangharsh Party,lost,1090
VIDYA NAIK,Independent,lost,979
BHOPINDER SINGH SAINI,Viro Ke Vir Indian Party,lost,946
BANSODE DILIP,Independent,lost,838
BHAWANI H. CHOUDHARY,Sardar Vallabhbhai Patel Party,lost,746
DATTATRAY ARJUN UTEKAR,Bharatheeya Jawan Kisan Party,lost,711
COMRADE SURENDRA SIBAG,All India Forward Bloc,lost,678
SHAHAJI  NANAI THORAT,Independent,lost,650
SANJAY SAOJI DESHPANDE,Republican Party of India,lost,641
SANJAY PATIL,Independent,lost,524
RAVINDRA DATTARAM WAIKAR,Shiv Sena,won,452644
AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),lost,452596
NOTA,None of the Above,,15161
PARMESHWAR ASHOK RANSHUR,Vanchit Bahujan  Aaghadi,lost,10052
RAJESH RAMKISAN MALLAH,Bahujan Samaj Party,lost,4812
SAMEER MORE,Independent,lost,3173
SUNIL BHIMA CHAVAN,Independent,lost,2002
BALA VENKATESH VINAYAK NADAR,Aapki Apni Party (Peoples),lost,1763
ARORA SURINDER MOHAN,Bharat Jan Aadhar Party,lost,1675
ROHAN SATONE,Independent,lost,1479
ADV. SANJEEVKUMAR APPARAV KALKORI,Independent,lost,1197
ADV. LATA PANDURANG SHINDE,Independent,lost,1154
MANOJ SHRAVAN NAYAK,Right to Recall Party,lost,1149
HRUDA DHANANJAY SHINDE,Independent,lost,1078
BHARAT KHIMJI SHAH,Hindu Samaj Party,lost,937
SUSHMA DAYANAND MEHTA,Independent,lost,882
ADVOCATE KAPIL KANTILAL SONI,Independent,lost,780
SARIKA DABRAL,India Greens Party,lost,768
GAJANAN TUKARAM SONKAMBLE,Independent,lost,501
ADV MITESH VARSHNEY,Bhim Sena,lost,497
HARISHANKAR YADAV,Samaj Vikas Kranti Party,lost,405
SANTOSH MANIK RAYBAN,Independent,lost,234
PIYUSH GOYAL,Bharatiya Janata Party,won,680146
BHUSHAN PATIL,Indian National Congress,lost,322538
NOTA,None of the Above,,13346
ADV. SONAL DIWAKAR GONDANE,Vanchit Bahujan  Aaghadi,lost,6052
RAIS DOCTOR,Bahujan Samaj Party,lost,2923
PANDEY DHARMENDRA RAMMURAT,Independent,lost,1481
DIPTI ASHOK WALAWALKAR,Independent,lost,1472
COMRADE JAYRAM VISHWAKARMA,Socialist Unity Centre Of India (COMMUNIST),lost,1195
MUNNALAL GAJRAJ PRAJAPATI,Independent,lost,971
LAXMAN YELLPPA KURADE,Independent,lost,686
ADVOCATE KAPIL K. SONI,Independent,lost,633
DEEPALI BHAWARSING SHEKHAWAT,Maharashtra Vikas Aghadi,lost,625
KAMLESH DAYABHAI VYAS,Sardar Vallabhbhai Patel Party,lost,622
BIPIN BACHUBHAI SHAH,Hindu Samaj Party,lost,508
GURUDAS RAMDAS KHAIRNAR,Independent,lost,486
RAVI BABU GAVLI,Samata Party,lost,450
JAEENDRA VASANT SURVE,Bharatheeya Jawan Kisan Party,lost,405
ALIEK SUNDER MESHRAM,Bharatiya Mulnivasi Aazad Party,lost,396
SAYED ZULFIQAR ALAM,Bahujan Maha Party,lost,348
SANJAY MAFATLAL MORAKHIA,Independent,lost,210
ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),won,395138
RAHUL RAMESH SHEWALE,Shiv Sena,lost,341754
ABUL HASAN ALI HASAN KHAN,Vanchit Bahujan  Aaghadi,lost,23867
NOTA,None of the Above,,13423
VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,lost,6532
AKASH LAXMAN KHARATMAL,Independent,lost,1899
ASHWINI KUMAR PATHAK,Independent,lost,1612
ADV. SANTOSH PUNJIRAM SANJKAR,Independent,lost,1578
KARAM HUSSAIN KITABULLAH KHAN,Peace Party,lost,1537
ADV. MAHENDRA TULSHIRAM BHINGARDIVE,Right to Recall Party,lost,1444
SAEED CHOUDHARY,Social Democratic Party Of India,lost,1191
DEEPAK M. CHAUGULE,Bahujan Republican  Socialist Party,lost,975
ISHWAR VILAS TATHAWADE,Rashtriya Mahaswaraj Bhumi Party,lost,971
JAHID ALI NASIR AHMED SHAIKH,Aazad Samaj Party (Kanshi Ram),lost,959
DR. ARJUN MAHADEO MURUDKAR,Bharatheeya Jawan Kisan Party,lost,930
VIVEK YESHWANT PATIL,Independent,lost,714
ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),won,395655
YAMINI YASHWANT JADHAV,Shiv Sena,lost,342982
NOTA,None of the Above,,13411
AFZAL S. DAWOODANI,Vanchit Bahujan  Aaghadi,lost,5612
MOHAMMED SHUAIB BASHIR KHATEEB,Bahujan Samaj Party,lost,4478
ARVIND NARAYAN SAWANT,Independent,lost,3090
MOHD. NAEEM SHAIKH,Aim Political Party,lost,1715
SABEEHA KHAN,Independent,lost,1694
GOHIL MANISHA SHIVRAM,Independent,lost,1045
SHANKAR SONAWANE,Independent,lost,862
RAHUL PHANASWADIKAR,Lokshahi Ekta Party,lost,787
SUBHASH RAMESH CHIPLUNKAR,Rashtriya Kisan Bahujan Party,lost,567
PRASHANT PRAKASH GHADGE,Independent,lost,490
MOHAMMED MAHTAB SHAIKH,Independent,lost,458
MATEEN AHMED RANGREJ,Independent,lost,267
RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),won,550146
KUMARI ANITA,Rashtriya Janata Dal,lost,469276
NOTA,None of the Above,,21951
SHANKAR PRASAD BIND,Independent,lost,21023
PRIYADARSHI PIYUSH,Independent,lost,15731
A. K. SINGH ‘ASHOK’,Independent,lost,13825
KUMAR NAVNEET HIMANSHU,Bahujan Samaj Party,lost,12280
KULDIP YADAV,Hindustan People's Party (Democratic),lost,9486
NEETISH KUMAR,Independent,lost,7507
PRAVAL KUMAR,Independent,lost,5375
RAVINDRA MANDAL,Socialist Unity Centre Of India (COMMUNIST),lost,4913
ADITYA SINGH MADHUKAR,Independent,lost,4140
PANKAJ KUMAR,Independent,lost,3428
ABU TAHER KHAN,All India Trinamool Congress,won,682442
MD SALIM,Communist Party of India  (Marxist),lost,518227
GOURI SANKAR GHOSH,Bharatiya Janata Party,lost,292031
NOTA,None of the Above,,13270
HABIB SAIKH,All India Secular Front,lost,12370
ASIM RAY,Bhartiya Lokmat Rashtrwadi Party,lost,5534
SAHABUDDIN MALLIK,Independent,lost,4156
RAFIKUL ISLAM,Independent,lost,4065
MAHAFUJUL ALAM,Socialist Unity Centre Of India (COMMUNIST),lost,3426
MD TAIEDUL ISLAM,Social Democratic Party Of India,lost,3293
DHANANJOY SARKAR,Independent,lost,1539
KRISHNA PROSAD BISWAS,Independent,lost,1206
HARENDRA SINGH MALIK,Samajwadi Party,won,470721
SANJEEV KUMAR BALYAN,Bharatiya Janata Party,lost,446049
DARA SINGH PRAJAPATI,Bahujan Samaj Party,lost,143707
SUNIL TYAGI,Independent,lost,7167
NOTA,None of the Above,,3916
KAVITA,Rashtrawadi Janlok Party (Satya),lost,2000
SHASHIKANT SHAMAR,Independent,lost,1431
BIRBAL SINGH,Vishal Janta Party,lost,1421
NEEL KUMAR,Jai Samta Party,lost,861
RESHU SHARMA,Independent,lost,684
ANKUR,Independent,lost,372
MANUJ VERMA,Independent,lost,340
RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,won,619749
AJAY NISHAD,Indian National Congress,lost,384822
ALOK KUMAR SINH,Independent,lost,17225
AWADHESH PRASAD SINGH,Independent,lost,15618
JITENDRA KUMAR,Independent,lost,8700
NOTA,None of the Above,,7588
NILIMA KUMARI,Independent,lost,7310
VIJAYESH KUMAR,Bahujan Samaj Party,lost,6547
AJAY SAHNI,Independent,lost,5158
SUNITA KUMARI,Bajjikanchal Vikas Party,lost,4792
MOHAMMAD ANZARUL HASAN,All India Majlis-E-Ittehadul Muslimeen,lost,4131
MD HAIDAR,Independent,lost,3897
MUKESH KUMAR,Independent,lost,3225
SUDHIR KUMAR OJHA,Bhartiya Sarthak Party,lost,2893
SABINA KHATOON,Indian National League,lost,2453
SANDIP KUMAR,Jantantra Awaj Party,lost,1971
ARVIND KUMAR CHAUDHARY,Socialist Unity Centre Of India (COMMUNIST),lost,1857
AJITANSH GAUR,The Agrani Party,lost,1843
SANJAY KUMAR,Independent,lost,1812
BASKIT KUMAR SHARMA,Independent,lost,1779
SONELAL PASWAN,Independent,lost,1731
MANORANJAN KUMAR,Independent,lost,1598
NAND KISHORE SHARMA,Apna Kisan Party,lost,1522
ABHAY KUMAR,Samata Party,lost,1174
PRABHAKAR RANJAN,Ekam Sanatan Bharat Dal,lost,1116
RAJU SINGH,Independent,lost,984
SAROJ KUMAR CHAUDHARY,Independent,lost,965
YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,won,795503
M. LAKSHMANA,Indian National Congress,lost,656241
NOTA,None of the Above,,4490
RANGASWAMY. M,Independent,lost,4306
KADAMBA NAA AMBARISH,Karnataka Jantha Paksha,lost,4080
A. S. SATHISH,Independent,lost,3746
RAMAMURTHY. M,Independent,lost,3605
RAJU,Independent,lost,1949
PRAJAKEEYA LEELA SHIVAKUMAR,Uttama Prajaakeeya Party,lost,1754
COMRADE SUNIL T. R,Socialist Unity Centre Of India (COMMUNIST),lost,1560
H. K. KRISHNA,Karunaadu Party,lost,1489
HARISH GOWDA,Socialist Party (India),lost,976
P. S. YADURAPPA,Independent,lost,878
AMBEDKAR. C. J,Independent,lost,835
DARSHAN K PONNETI,Independent,lost,764
M. S. PRAVEEN,Karnataka Rashtra Samithi,lost,740
CHRISTOPHER RAJ KUMAR,Independent,lost,544
