name,party,status,votes
NIKHIL BERA,Socialist Unity Centre Of India (COMMUNIST),lost,2107
AMAL KUMAR BARMAN,Independent,lost,2000
RAMPRASAD GHORAI,Indian Unity Centre,lost,1572
SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,won,616133
ANNU TANDON,Samajwadi Party,lost,580315
ASHOK KUMAR PANDEY,Bahujan Samaj Party,lost,72527
NOTA,None of the Above,,9453
SAIF KHAN,Parcham Party of India,lost,8404
UMESH,Independent,lost,5635
SHIV PRAKASH SINGH,Independent,lost,4118
SAIYYAD SARFARAZ GANDHI,Independent,lost,3023
HIMANSHU SHARMA,Bhartiya Shakti Chetna Party,lost,2663
VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,won,782495
DR. ANJALI NIMBALKAR,Indian National Congress,lost,445067
NOTA,None of the Above,,10176
RAJSHEKHAR. SHANKAR. HINDALAGI.,Independent,lost,5397
GANAPATI HEGDE,Socialist Unity Centre Of India (COMMUNIST),lost,4472
NIRANJAN UDAYSINH SIRDESAI,Independent,lost,4169
NAGARAJ. ANANT. SHIRALI.,Independent,lost,2882
CHIDANAND  HANUMANTHAPPA HARIJAN,Independent,lost,1721
PRAJAAKEEYA SUNIL,Uttama Prajaakeeya Party,lost,1566
VINAYAK NAIK,Karnataka Rashtra Samithi,lost,1263
K. P. PATIL,Independent,lost,956
KRISHNA BALEGAR,Independent,lost,920
ARAVIND GOWDA,Independent,lost,904
AVINASH. NARAYAN. PATIL.,Independent,lost,773
SHAFI PARAMBIL,Indian National Congress,won,557528
K K SHAILAJA TEACHER,Communist Party of India  (Marxist),lost,443022
PRAPHUL KRISHNAN,Bharatiya Janata Party,lost,111979
SHAFI T P,Independent,lost,3764
NOTA,None of the Above,,2909
K K SHYLAJA,Independent,lost,1179
KUNHIKANNAN PAYYOLI,Independent,lost,869
SHYLAJA,Independent,lost,680
SHAFI,Independent,lost,422
SYLAJA P,Independent,lost,326
MURALIDHARAN,Independent,lost,269
DR. HEMANG JOSHI,Bharatiya Janata Party,won,873189
PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,lost,291063
NOTA,None of the Above,,18388
JADAV AMITKUMAR RAMJIBHAI,Bahujan Samaj Party,lost,7529
RAJESH RATHOD,Independent,lost,5469
ANILBHAI SHARMA,Hindrashtra Sangh,lost,3453
